Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestCaseResult,Chrome 67.0.3396.99,,2018-07-03 17:18:27,2018-07-03 17:18:37,9.719s,PASSED
,,,,,,
Test Cases/Forum/Mark test status for a Custom Keyword,Chrome 67.0.3396.99,,2018-07-03 17:18:28,2018-07-03 17:18:37,8.811s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-03 17:18:28,2018-07-03 17:18:28,0.034s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-03 17:18:28,2018-07-03 17:18:35,6.927s,PASSED
Statement - to = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Forum/btn_GoogleSearch),Chrome 67.0.3396.99,,2018-07-03 17:18:35,2018-07-03 17:18:35,0.024s,PASSED
forum.VerifyElementPresent.isElementPresent,Chrome 67.0.3396.99,,2018-07-03 17:18:35,2018-07-03 17:18:36,0.514s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-03 17:18:36,2018-07-03 17:18:37,0.905s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-03 17:18:37,2018-07-03 17:18:37,0.012s,PASSED
